body,head,train_support,train_body_pairs,train_confidence,head_coverage,test_body_pairs,test_support,test_confidence
R40,R22,3,430,0.0069767441860465115,0.028037383177570093,79,0,0.0
R40,R23,3,430,0.0069767441860465115,0.0027149321266968325,79,1,0.012658227848101266
R40,R24,3,430,0.0069767441860465115,0.006134969325153374,79,0,0.0
R40,R71,3,430,0.0069767441860465115,0.020689655172413793,79,1,0.012658227848101266
R42,R23,3,250,0.012,0.0027149321266968325,56,4,0.07142857142857142
R44,R11,12,614,0.019543973941368076,0.008589835361488905,173,1,0.005780346820809248
R44,R23,9,614,0.014657980456026058,0.008144796380090498,173,4,0.023121387283236993
R44,R46,4,614,0.006514657980456026,0.0076481835564053535,173,0,0.0
R45,R47,3,165,0.01818181818181818,0.007159904534606206,68,1,0.014705882352941176
R46,R44,4,523,0.0076481835564053535,0.006514657980456026,134,0,0.0
R46,R47,10,523,0.019120458891013385,0.02386634844868735,134,1,0.007462686567164179
R46,R49,3,523,0.0057361376673040155,0.008450704225352112,134,2,0.014925373134328358
R46,R50,5,523,0.009560229445506692,0.043859649122807015,134,0,0.0
R46,R55,6,523,0.011472275334608031,0.03260869565217391,134,0,0.0
R47,R45,3,419,0.007159904534606206,0.01818181818181818,123,1,0.008130081300813009
R47,R46,10,419,0.02386634844868735,0.019120458891013385,123,1,0.008130081300813009
R47,R49,11,419,0.026252983293556086,0.030985915492957747,123,4,0.032520325203252036
R47,R50,3,419,0.007159904534606206,0.02631578947368421,123,4,0.032520325203252036
R47,R80,10,419,0.02386634844868735,0.09523809523809523,123,4,0.032520325203252036
R48,R49,3,62,0.04838709677419355,0.008450704225352112,19,0,0.0
R49,R46,3,355,0.008450704225352112,0.0057361376673040155,85,2,0.023529411764705882
R49,R47,11,355,0.030985915492957747,0.026252983293556086,85,4,0.047058823529411764
R49,R48,3,355,0.008450704225352112,0.04838709677419355,85,0,0.0
R50,R39,5,114,0.043859649122807015,0.03048780487804878,50,1,0.02
R50,R46,5,114,0.043859649122807015,0.009560229445506692,50,0,0.0
R50,R47,3,114,0.02631578947368421,0.007159904534606206,50,4,0.08
R51,R21,4,152,0.02631578947368421,0.038834951456310676,55,1,0.01818181818181818
R51,R39,7,152,0.046052631578947366,0.042682926829268296,55,1,0.01818181818181818
R52,R21,4,148,0.02702702702702703,0.038834951456310676,51,0,0.0
R52,R23,3,148,0.02027027027027027,0.0027149321266968325,51,1,0.0196078431372549
R55,R46,6,184,0.03260869565217391,0.011472275334608031,40,0,0.0
R55,R60,3,184,0.016304347826086956,0.006172839506172839,40,1,0.025
R56,R18,3,197,0.015228426395939087,0.0084985835694051,52,0,0.0
R56,R34,5,197,0.025380710659898477,0.013812154696132596,52,2,0.038461538461538464
R56,R57,9,197,0.04568527918781726,0.1323529411764706,52,2,0.038461538461538464
R57,R56,9,68,0.1323529411764706,0.04568527918781726,30,2,0.06666666666666667
R60,R55,3,486,0.006172839506172839,0.016304347826086956,142,1,0.007042253521126761
R65,R23,3,537,0.00558659217877095,0.0027149321266968325,168,2,0.011904761904761904
R71,R05,4,145,0.027586206896551724,0.004158004158004158,20,0,0.0
R71,R09,4,145,0.027586206896551724,0.0029917726252804786,20,1,0.05
R71,R23,4,145,0.027586206896551724,0.0036199095022624436,20,0,0.0
R71,R40,3,145,0.020689655172413793,0.0069767441860465115,20,1,0.05
R75,R12,3,67,0.04477611940298507,0.0015789473684210526,17,1,0.058823529411764705
R76,R23,3,174,0.017241379310344827,0.0027149321266968325,60,1,0.016666666666666666
R80,R47,10,105,0.09523809523809523,0.02386634844868735,22,4,0.18181818181818182
